PRISM Time Series Data
Locations: 179
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2021-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Nov-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
459,-92.7520,36.5245,220,2021-01-01,29.71,-2.4,0.3,2.9
459,-92.7520,36.5245,220,2021-01-02,0.78,-0.7,2.2,5.1
459,-92.7520,36.5245,220,2021-01-03,1.58,-2.6,-0.7,1.2
459,-92.7520,36.5245,220,2021-01-04,0.00,-2.7,4.7,12.1
459,-92.7520,36.5245,220,2021-01-05,0.00,-2.0,6.4,14.8
459,-92.7520,36.5245,220,2021-01-06,0.00,-1.5,5.9,13.2
459,-92.7520,36.5245,220,2021-01-07,6.34,1.1,3.8,6.4
459,-92.7520,36.5245,220,2021-01-08,2.73,-0.7,1.3,3.2
459,-92.7520,36.5245,220,2021-01-09,0.00,-1.1,0.5,2.1
459,-92.7520,36.5245,220,2021-01-10,0.00,-3.6,-0.8,2.0
459,-92.7520,36.5245,220,2021-01-11,0.00,-5.1,-1.5,2.1
459,-92.7520,36.5245,220,2021-01-12,0.00,-7.0,-2.9,1.1
459,-92.7520,36.5245,220,2021-01-13,0.00,-5.8,2.4,10.5
459,-92.7520,36.5245,220,2021-01-14,0.00,-2.3,5.5,13.3
459,-92.7520,36.5245,220,2021-01-15,0.00,1.0,6.1,11.3
459,-92.7520,36.5245,220,2021-01-16,0.00,-0.1,1.7,3.4
459,-92.7520,36.5245,220,2021-01-17,0.00,-1.9,0.8,3.5
459,-92.7520,36.5245,220,2021-01-18,0.00,-2.8,3.3,9.5
459,-92.7520,36.5245,220,2021-01-19,0.00,-1.7,5.4,12.5
459,-92.7520,36.5245,220,2021-01-20,0.00,-2.9,3.8,10.4
459,-92.7520,36.5245,220,2021-01-21,0.00,-3.1,3.1,9.4
459,-92.7520,36.5245,220,2021-01-22,0.00,1.5,6.7,12.0
459,-92.7520,36.5245,220,2021-01-23,0.00,-3.8,3.4,10.5
459,-92.7520,36.5245,220,2021-01-24,0.84,-4.2,0.2,4.6
459,-92.7520,36.5245,220,2021-01-25,17.39,2.8,7.0,11.2
459,-92.7520,36.5245,220,2021-01-26,8.67,2.4,6.6,10.9
459,-92.7520,36.5245,220,2021-01-27,3.87,-1.0,1.8,4.6
459,-92.7520,36.5245,220,2021-01-28,1.06,-4.0,-1.6,0.8
459,-92.7520,36.5245,220,2021-01-29,0.00,-4.1,0.8,5.6
459,-92.7520,36.5245,220,2021-01-30,0.94,-2.6,4.2,11.0
459,-92.7520,36.5245,220,2021-01-31,7.57,2.8,8.1,13.5
459,-92.7520,36.5245,220,2021-02-01,0.00,-0.5,1.4,3.2
459,-92.7520,36.5245,220,2021-02-02,0.00,-4.7,0.2,5.1
459,-92.7520,36.5245,220,2021-02-03,0.00,-5.3,1.2,7.7
459,-92.7520,36.5245,220,2021-02-04,0.00,-4.3,4.9,14.2
459,-92.7520,36.5245,220,2021-02-05,0.28,-4.4,3.5,11.3
459,-92.7520,36.5245,220,2021-02-06,0.00,-4.3,4.1,12.4
459,-92.7520,36.5245,220,2021-02-07,0.74,-4.5,0.4,5.4
459,-92.7520,36.5245,220,2021-02-08,0.44,-5.3,-3.9,-2.5
459,-92.7520,36.5245,220,2021-02-09,1.89,-4.8,-1.9,0.9
459,-92.7520,36.5245,220,2021-02-10,0.38,-5.0,-3.0,-1.0
459,-92.7520,36.5245,220,2021-02-11,0.83,-8.2,-5.2,-2.2
459,-92.7520,36.5245,220,2021-02-12,0.00,-9.1,-7.4,-5.6
459,-92.7520,36.5245,220,2021-02-13,0.00,-12.4,-9.0,-5.5
459,-92.7520,36.5245,220,2021-02-14,0.00,-14.6,-10.4,-6.2
459,-92.7520,36.5245,220,2021-02-15,4.76,-17.9,-14.6,-11.3
459,-92.7520,36.5245,220,2021-02-16,4.95,-22.6,-18.5,-14.5
459,-92.7520,36.5245,220,2021-02-17,2.88,-21.0,-14.0,-7.0
459,-92.7520,36.5245,220,2021-02-18,0.47,-11.3,-9.1,-6.8
459,-92.7520,36.5245,220,2021-02-19,0.00,-15.2,-8.2,-1.2
459,-92.7520,36.5245,220,2021-02-20,0.00,-14.8,-5.5,3.9
459,-92.7520,36.5245,220,2021-02-21,0.00,-9.0,0.6,10.1
459,-92.7520,36.5245,220,2021-02-22,0.00,-0.7,3.4,7.5
459,-92.7520,36.5245,220,2021-02-23,0.00,0.1,7.8,15.5
459,-92.7520,36.5245,220,2021-02-24,0.00,4.5,14.0,23.5
459,-92.7520,36.5245,220,2021-02-25,0.00,-0.7,9.5,19.7
459,-92.7520,36.5245,220,2021-02-26,1.19,-0.0,6.0,12.0
459,-92.7520,36.5245,220,2021-02-27,1.57,1.8,4.6,7.5
459,-92.7520,36.5245,220,2021-02-28,9.88,2.4,7.7,12.9
459,-92.7520,36.5245,220,2021-03-01,3.60,0.2,10.4,20.5
459,-92.7520,36.5245,220,2021-03-02,0.00,-3.0,4.7,12.5
459,-92.7520,36.5245,220,2021-03-03,0.00,-2.2,6.0,14.2
459,-92.7520,36.5245,220,2021-03-04,0.00,0.2,10.6,21.0
459,-92.7520,36.5245,220,2021-03-05,0.00,2.6,12.4,22.2
459,-92.7520,36.5245,220,2021-03-06,0.84,-2.9,2.9,8.8
459,-92.7520,36.5245,220,2021-03-07,0.00,-3.2,6.2,15.6
459,-92.7520,36.5245,220,2021-03-08,0.00,0.6,9.9,19.3
459,-92.7520,36.5245,220,2021-03-09,0.00,3.6,12.0,20.4
459,-92.7520,36.5245,220,2021-03-10,0.00,7.6,13.6,19.6
459,-92.7520,36.5245,220,2021-03-11,0.00,14.8,17.2,19.6
