PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 800m
Period: 2019-01-01 - 2019-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmax (degrees C)
30,-110.8011,32.2169,821,2019-01-01,8.63,1.4,11.9
30,-110.8011,32.2169,821,2019-01-02,3.35,0.3,9.4
30,-110.8011,32.2169,821,2019-01-03,0.00,-1.1,6.7
30,-110.8011,32.2169,821,2019-01-04,0.00,-2.8,13.2
30,-110.8011,32.2169,821,2019-01-05,0.00,0.3,21.7
30,-110.8011,32.2169,821,2019-01-06,18.75,4.6,21.6
30,-110.8011,32.2169,821,2019-01-07,3.49,3.0,12.1
30,-110.8011,32.2169,821,2019-01-08,0.00,2.0,17.4
30,-110.8011,32.2169,821,2019-01-09,0.00,3.7,22.1
30,-110.8011,32.2169,821,2019-01-10,0.00,9.5,20.4
30,-110.8011,32.2169,821,2019-01-11,0.00,5.6,17.2
30,-110.8011,32.2169,821,2019-01-12,0.00,3.7,17.7
30,-110.8011,32.2169,821,2019-01-13,1.32,3.8,20.0
30,-110.8011,32.2169,821,2019-01-14,0.41,7.9,16.7
30,-110.8011,32.2169,821,2019-01-15,0.00,7.0,20.5
30,-110.8011,32.2169,821,2019-01-16,0.00,8.2,18.8
30,-110.8011,32.2169,821,2019-01-17,0.00,5.9,19.2
30,-110.8011,32.2169,821,2019-01-18,0.00,6.4,20.9
30,-110.8011,32.2169,821,2019-01-19,0.00,5.9,19.2
30,-110.8011,32.2169,821,2019-01-20,0.00,3.6,21.2
30,-110.8011,32.2169,821,2019-01-21,0.00,6.3,26.0
30,-110.8011,32.2169,821,2019-01-22,0.00,5.0,22.1
30,-110.8011,32.2169,821,2019-01-23,0.00,0.4,13.3
30,-110.8011,32.2169,821,2019-01-24,0.00,-1.0,15.5
30,-110.8011,32.2169,821,2019-01-25,0.00,-0.8,19.3
30,-110.8011,32.2169,821,2019-01-26,0.00,-0.2,20.4
30,-110.8011,32.2169,821,2019-01-27,0.00,0.2,18.5
30,-110.8011,32.2169,821,2019-01-28,0.00,2.8,22.9
30,-110.8011,32.2169,821,2019-01-29,0.00,3.0,22.5
30,-110.8011,32.2169,821,2019-01-30,0.00,7.5,22.1
30,-110.8011,32.2169,821,2019-01-31,0.00,7.4,23.3
30,-110.8011,32.2169,821,2019-02-01,0.00,7.6,23.0
30,-110.8011,32.2169,821,2019-02-02,0.00,8.9,21.8
30,-110.8011,32.2169,821,2019-02-03,0.29,9.1,21.4
30,-110.8011,32.2169,821,2019-02-04,21.88,11.3,15.6
30,-110.8011,32.2169,821,2019-02-05,1.10,10.6,19.1
30,-110.8011,32.2169,821,2019-02-06,2.86,8.1,16.8
30,-110.8011,32.2169,821,2019-02-07,1.32,-0.4,11.7
30,-110.8011,32.2169,821,2019-02-08,0.00,-1.9,13.0
30,-110.8011,32.2169,821,2019-02-09,0.00,0.1,21.0
30,-110.8011,32.2169,821,2019-02-10,0.00,3.5,17.5
30,-110.8011,32.2169,821,2019-02-11,0.00,2.0,18.1
30,-110.8011,32.2169,821,2019-02-12,0.00,-1.2,13.3
30,-110.8011,32.2169,821,2019-02-13,0.00,-0.2,21.7
30,-110.8011,32.2169,821,2019-02-14,0.00,6.4,22.6
30,-110.8011,32.2169,821,2019-02-15,21.77,10.9,21.2
30,-110.8011,32.2169,821,2019-02-16,0.00,10.3,19.1
30,-110.8011,32.2169,821,2019-02-17,0.00,1.4,15.2
30,-110.8011,32.2169,821,2019-02-18,0.00,1.1,13.3
30,-110.8011,32.2169,821,2019-02-19,3.49,1.0,11.2
30,-110.8011,32.2169,821,2019-02-20,0.00,-1.5,9.9
30,-110.8011,32.2169,821,2019-02-21,0.00,-2.1,13.2
30,-110.8011,32.2169,821,2019-02-22,15.89,3.4,11.3
30,-110.8011,32.2169,821,2019-02-23,16.66,-1.3,4.0
30,-110.8011,32.2169,821,2019-02-24,0.00,-1.7,10.8
30,-110.8011,32.2169,821,2019-02-25,0.00,-1.4,18.7
30,-110.8011,32.2169,821,2019-02-26,0.00,1.6,19.7
30,-110.8011,32.2169,821,2019-02-27,0.00,3.6,23.7
30,-110.8011,32.2169,821,2019-02-28,0.00,6.4,23.3
30,-110.8011,32.2169,821,2019-03-01,0.00,5.8,23.8
30,-110.8011,32.2169,821,2019-03-02,0.00,7.5,24.9
30,-110.8011,32.2169,821,2019-03-03,0.00,9.8,25.5
30,-110.8011,32.2169,821,2019-03-04,0.00,8.9,23.6
30,-110.8011,32.2169,821,2019-03-05,0.00,7.0,22.9
30,-110.8011,32.2169,821,2019-03-06,0.00,7.0,26.7
30,-110.8011,32.2169,821,2019-03-07,0.00,10.7,29.2
30,-110.8011,32.2169,821,2019-03-08,0.00,12.4,24.7
30,-110.8011,32.2169,821,2019-03-09,0.00,3.0,17.2
30,-110.8011,32.2169,821,2019-03-10,0.00,3.6,17.2
30,-110.8011,32.2169,821,2019-03-11,0.00,7.7,22.3
30,-110.8011,32.2169,821,2019-03-12,9.76,8.0,25.4
30,-110.8011,32.2169,821,2019-03-13,10.52,7.1,13.7
30,-110.8011,32.2169,821,2019-03-14,0.00,3.2,15.2
30,-110.8011,32.2169,821,2019-03-15,0.00,1.5,14.6
30,-110.8011,32.2169,821,2019-03-16,0.00,3.3,21.1
30,-110.8011,32.2169,821,2019-03-17,0.00,9.8,22.6
30,-110.8011,32.2169,821,2019-03-18,0.00,8.9,24.1
30,-110.8011,32.2169,821,2019-03-19,0.00,9.4,25.6
30,-110.8011,32.2169,821,2019-03-20,0.00,10.4,26.1
30,-110.8011,32.2169,821,2019-03-21,0.00,10.3,27.0
30,-110.8011,32.2169,821,2019-03-22,0.00,6.2,18.9
30,-110.8011,32.2169,821,2019-03-23,0.00,5.2,19.7
30,-110.8011,32.2169,821,2019-03-24,0.00,6.3,23.3
30,-110.8011,32.2169,821,2019-03-25,0.00,7.8,24.4
30,-110.8011,32.2169,821,2019-03-26,0.00,7.6,28.5
30,-110.8011,32.2169,821,2019-03-27,0.00,10.8,30.0
30,-110.8011,32.2169,821,2019-03-28,0.00,12.3,29.0
30,-110.8011,32.2169,821,2019-03-29,0.00,10.2,28.8
30,-110.8011,32.2169,821,2019-03-30,0.00,9.1,26.1
30,-110.8011,32.2169,821,2019-03-31,0.00,8.5,25.8
30,-110.8011,32.2169,821,2019-04-01,0.00,7.9,25.5
30,-110.8011,32.2169,821,2019-04-02,0.00,9.5,27.6
30,-110.8011,32.2169,821,2019-04-03,0.00,10.1,28.2
30,-110.8011,32.2169,821,2019-04-04,0.00,10.2,25.0
